,80-20,80-15,60-20,60-15,60-10,50-20,50-15,50-10,40-20,40-15,40-10,30-20,30-15,30-10,30-5,10-3
ENC0,147.4,168.7,141.0,121.0,140.8,149.6,171.4,133.1,163.2,163.9,125.8,150.7,132.2,128.3,122.0,187.1
ENC1,157.7,189.2,135.0,135.1,141.3,141.1,162.5,144.1,176.2,172.7,144.0,133.9,159.4,141.3,141.6,143.1
ENC2,135.9,136.4,120.8,120.3,127.5,127.5,128.3,121.3,142.2,137.4,134.5,124.8,145.1,136.6,154.4,138.9
ENC3,144.2,131.1,153.6,130.7,141.3,152.7,119.2,135.0,161.7,135.9,135.9,166.0,157.5,129.0,155.7,135.1
ENC4,254.7,273.6,237.9,271.2,250.5,259.5,234.0,250.5,258.2,266.7,238.4,252.4,256.2,261.1,224.8,258.3
